structure,PC1,PC2,cluster_id,cluster_name,cluster_colour,cluster_hex_colour
bit_2143,-7.877069774604914,-12.575224146858744,2,3,pink,#f781bf
bit_2144,16.94278317794815,-2.059319227741181,0,1,green,#4daf4a
bit_2145,-13.954337951385911,-4.096567649911204,3,4,blue,#8f81f7
bit_2146,14.85860480838425,8.78230990066355,0,1,green,#4daf4a
bit_2147,-4.342233956403539,-10.747657117499031,2,3,pink,#f781bf
bit_2148,-3.844648636250503,8.288939798095896,1,2,orange,#ff7f00
bit_2149,-4.004308488180498,-14.353897404902105,2,3,pink,#f781bf
bit_2150,-11.906491207801984,4.115032751730654,3,4,blue,#8f81f7
bit_2151,21.36645959659849,-11.46770000591444,0,1,green,#4daf4a
bit_2152,8.139946939244659,18.46105698564764,1,2,orange,#ff7f00
bit_2153,-6.966081876249775,13.59389076916267,1,2,orange,#ff7f00
bit_2154,-8.678466403238964,5.269036865012165,3,4,blue,#8f81f7
bit_2155,-7.511573873082544,-10.049292194834646,2,3,pink,#f781bf
bit_2156,0.0256890632913433,14.07325133121829,1,2,orange,#ff7f00
bit_2157,-4.81166744310362,13.603441373336898,1,2,orange,#ff7f00
bit_2158,-4.175737840532541,7.677181415823703,1,2,orange,#ff7f00
bit_2159,-12.443729045325853,-0.0080440241752652,3,4,blue,#8f81f7
bit_2160,-2.226522664752669,10.17121069648715,1,2,orange,#ff7f00
bit_2161,-14.254247287839386,-2.497263221043621,3,4,blue,#8f81f7
bit_2162,-13.76950218468246,-1.7103400985844663,3,4,blue,#8f81f7
bit_2163,-13.3332682344649,-3.127999962903115,3,4,blue,#8f81f7
bit_2164,-0.5114273657228443,-13.748944804465566,2,3,pink,#f781bf
bit_2165,2.317823971311721,8.621184635185264,1,2,orange,#ff7f00
bit_2166,-13.954337951385911,-4.096567649911204,3,4,blue,#8f81f7
bit_2167,6.080978729662033,12.671449150747456,1,2,orange,#ff7f00
bit_2168,1.2423112304434851,2.774235512116024,1,2,orange,#ff7f00
bit_2169,-12.793618906870778,3.968058657109243,3,4,blue,#8f81f7
bit_2170,-6.644664331293408,12.109562707707468,1,2,orange,#ff7f00
bit_2171,-15.338829794789948,-4.087766862413335,3,4,blue,#8f81f7
bit_2172,-2.458787099102711,14.611270783524516,1,2,orange,#ff7f00
bit_2173,-14.70834999445528,-4.130296953463948,3,4,blue,#8f81f7
bit_2174,-13.288816864363929,-3.5217271638541776,3,4,blue,#8f81f7
bit_2175,-3.673376407809066,14.037165277924318,1,2,orange,#ff7f00
bit_2176,10.054191704029028,16.929953806722462,1,2,orange,#ff7f00
bit_2177,17.830038644259993,1.702878851387861,0,1,green,#4daf4a
bit_2178,-15.034673701643127,-4.529314935698747,3,4,blue,#8f81f7
bit_2179,-15.577899386010444,-3.4370389137650625,3,4,blue,#8f81f7
bit_2180,-7.413079784191328,-13.268013427576832,2,3,pink,#f781bf
bit_2181,21.56672215482001,-8.385595736844024,0,1,green,#4daf4a
bit_2182,-8.29038419897636,-13.19686513909704,2,3,pink,#f781bf
bit_2183,-14.192585172149318,-4.046567466995473,3,4,blue,#8f81f7
bit_2184,20.36864527189178,0.6109279108864256,0,1,green,#4daf4a
bit_2185,20.13487778653379,-0.6044752269216755,0,1,green,#4daf4a
bit_2186,-14.254247287839386,-2.497263221043621,3,4,blue,#8f81f7
bit_2187,24.85019115575064,-3.7500654636673776,0,1,green,#4daf4a
bit_2188,1.813020167413481,-2.9862518930077955,2,3,pink,#f781bf
bit_2189,13.502756082704735,-4.762296092994698,0,1,green,#4daf4a
bit_2190,2.276188690071009,-1.0613521255641418,2,3,pink,#f781bf
bit_2191,-5.405760326038696,9.626174796507453,1,2,orange,#ff7f00
bit_2192,-13.109256713664584,-3.540728026881448,3,4,blue,#8f81f7
bit_2193,-3.1184656302464537,-16.078609836881153,2,3,pink,#f781bf
bit_2194,-7.729057059900104,-10.934677588140223,2,3,pink,#f781bf
bit_2195,22.95260710289659,-3.0642493224042457,0,1,green,#4daf4a
bit_2196,-9.329415084426104,-6.220310708114575,3,4,blue,#8f81f7
bit_2197,-12.927943066681184,-3.1113165670675,3,4,blue,#8f81f7
bit_2198,-12.913646104311605,-1.240622216792315,3,4,blue,#8f81f7
bit_2199,-14.254247287839386,-2.497263221043621,3,4,blue,#8f81f7
bit_2200,10.249431240139208,15.532732082620006,1,2,orange,#ff7f00
bit_2201,2.453144120313728,18.71568920205188,1,2,orange,#ff7f00
bit_2202,24.502814103140544,-2.711887113403804,0,1,green,#4daf4a
bit_2203,16.571901624970717,-3.4714987606414502,0,1,green,#4daf4a
bit_2204,4.608714385586256,9.440160401985873,1,2,orange,#ff7f00
bit_2205,15.341996789387316,-7.035975664227978,0,1,green,#4daf4a
bit_2206,-2.400147732499307,16.003680566529813,1,2,orange,#ff7f00
bit_2207,18.820194751302036,4.8686368504123045,0,1,green,#4daf4a
bit_2208,18.50425046061001,-6.211997716996997,0,1,green,#4daf4a
bit_2209,-15.12417538307613,-4.394832961125464,3,4,blue,#8f81f7
bit_2210,3.980272206928825,12.550949635532234,1,2,orange,#ff7f00
bit_2211,-13.954337951385911,-4.096567649911204,3,4,blue,#8f81f7
bit_2212,9.629114459642889,16.8960950555075,1,2,orange,#ff7f00
bit_2213,-7.31176477820105,13.679670757513,1,2,orange,#ff7f00
bit_2214,24.39670051846887,2.7897756252749506,0,1,green,#4daf4a
bit_2215,16.719859873071243,-10.640982326970056,0,1,green,#4daf4a
bit_2216,-14.224937258970794,-3.1833865757835373,3,4,blue,#8f81f7
bit_2217,18.60318189949617,-11.463059839678088,0,1,green,#4daf4a
bit_2218,-14.831854722144705,-6.37345025560579,3,4,blue,#8f81f7
bit_2219,0.1730229182321105,-2.0344466095801264,2,3,pink,#f781bf
bit_2220,-7.45065593194952,-12.648958384420208,2,3,pink,#f781bf
bit_2221,6.364208014511189,5.506808268210668,1,2,orange,#ff7f00
bit_2222,-6.770707915165041,-10.642145190029977,2,3,pink,#f781bf
bit_2223,-5.895267659060187,14.582108430253877,1,2,orange,#ff7f00
bit_2224,-7.658281320081943,14.350177483797792,1,2,orange,#ff7f00
bit_2225,-0.2885758815526044,-9.388675275195702,2,3,pink,#f781bf
bit_2226,24.609937971627243,-0.6694483805585365,0,1,green,#4daf4a
bit_2227,20.01688820686,-4.631495510153202,0,1,green,#4daf4a
bit_2228,-6.0281574227166335,11.979128216979342,1,2,orange,#ff7f00
bit_2229,24.99009644552386,-4.176583316485848,0,1,green,#4daf4a
bit_2230,-0.8075999325913129,10.397374700887896,1,2,orange,#ff7f00
bit_2231,-7.853943123269216,-10.866517298742007,2,3,pink,#f781bf
bit_2232,-12.649547314368547,-1.1948443752438611,3,4,blue,#8f81f7
bit_2233,2.6574113271290685,18.044090438349908,1,2,orange,#ff7f00
bit_2234,-5.895267659060187,14.582108430253877,1,2,orange,#ff7f00
bit_2235,-6.449395345235013,12.673165067150244,1,2,orange,#ff7f00
bit_2236,-12.53410335764331,-2.219049920060137,3,4,blue,#8f81f7
bit_2237,-4.367169366046066,-14.460326763099392,2,3,pink,#f781bf
bit_2238,-11.544469129163554,-2.322352857930392,3,4,blue,#8f81f7
bit_2239,-8.146030347174817,-12.69763086501301,2,3,pink,#f781bf
bit_2240,-5.9086435070275805,-10.980494684380597,2,3,pink,#f781bf
bit_2241,20.512145861586276,-4.960172397972522,0,1,green,#4daf4a
bit_2242,4.618381240149556,13.875301897099506,1,2,orange,#ff7f00
bit_2243,-15.034673701643127,-4.529314935698747,3,4,blue,#8f81f7
bit_2244,-0.0718564829728308,9.41024879646768,1,2,orange,#ff7f00
bit_2245,-11.33669351370376,-2.599784362764159,3,4,blue,#8f81f7
bit_2246,18.37628926531413,-0.971964744980735,0,1,green,#4daf4a
bit_2247,12.644360755520864,3.456566066725061,0,1,green,#4daf4a
bit_2248,-12.792625866384832,-1.963634458323511,3,4,blue,#8f81f7
bit_2249,-7.10750563285009,13.869097545953723,1,2,orange,#ff7f00
bit_2250,22.59403780261607,-3.497730340400299,0,1,green,#4daf4a
